,subject_id,cage_num_of_subject,final_elo_rating,cohort,experiment_type,rank
0,1.1,CAGE1,1165.3,,tube_test,1.0
1,1.2,CAGE1,1054.5,,tube_test,2.0
2,1.3,CAGE1,882.3,,tube_test,4.0
3,1.4,CAGE1,897.9,,tube_test,3.0
4,2.1,CAGE2,1127.8,,tube_test,1.0
5,2.2,CAGE2,965.6,,tube_test,3.0
6,2.3,CAGE2,1072.9,,tube_test,2.0
7,2.4,CAGE2,833.7,,tube_test,4.0
8,3.1,CAGE3,847.8,,tube_test,4.0
9,3.2,CAGE3,1024.4,,tube_test,2.0
10,3.3,CAGE3,980.4,,tube_test,3.0
11,3.4,CAGE3,1147.4,,tube_test,1.0
12,4.1,CAGE4,974.5,,tube_test,3.0
13,4.2,CAGE4,1155.4,,tube_test,1.0
14,4.3,CAGE4,1034.7,,tube_test,2.0
15,4.4,CAGE4,835.4,,tube_test,4.0
16,5.1,CAGE5,1006.0,,tube_test,2.0
17,5.2,CAGE5,983.4,,tube_test,3.0
18,5.3,CAGE5,845.3,,tube_test,4.0
19,5.4,CAGE5,1165.3,,tube_test,1.0
20,6.1,CAGE6,1137.7,,tube_test,1.0
21,6.2,CAGE6,1021.2,,tube_test,2.0
22,6.3,CAGE6,1006.6,,tube_test,3.0
23,6.4,CAGE6,834.5,,tube_test,4.0
